,DE10Y,DE30Y,SLOPE
TARGET,3.820*** (0.840),1.859*** (0.716),0.301 (0.706)
TIMING,-1.770*** (0.601),-3.486*** (0.790),-3.929*** (1.052)
PATH,0.922*** (0.205),0.681*** (0.229),-0.251 (0.304)
QE,1.017*** (0.154),0.507 (0.309),0.452 (0.356)
TARGET_x_QT,-0.850 (0.878),-0.184 (0.750),-1.814** (0.744)
TARGET_x_QT_bootp,[0.447],[0.795],[0.036]
TIMING_x_QT,1.615* (0.952),2.595*** (0.929),1.597 (1.121)
TIMING_x_QT_bootp,[0.185],[0.032],[0.263]
PATH_x_QT,0.343 (0.236),0.309 (0.246),0.250 (0.313)
PATH_x_QT_bootp,[0.228],[0.268],[0.497]
QE_x_QT,0.089 (0.269),0.325 (0.366),0.075 (0.411)
QE_x_QT_bootp,[0.746],[0.407],[0.870]
R2,0.872,0.753,0.655
N,83,83,83
