,DE2Y,DE5Y,DE10Y,DE30Y,LEVEL,SLOPE,CURV
TARGET,7.218*** (0.962),7.775*** (1.027),6.058*** (0.878),2.658*** (0.770),7.017*** (0.844),-1.159 (0.885),2.274** (1.149)
PATH,0.950*** (0.213),0.187 (0.239),-0.933*** (0.277),-1.523*** (0.455),0.068 (0.127),-1.882*** (0.422),0.357 (0.501)
QE,0.968*** (0.100),1.046*** (0.083),0.901*** (0.129),0.595*** (0.151),0.972*** (0.067),-0.067 (0.185),0.224 (0.141)
TARGET_x_QT,-0.089 (1.126),-0.597 (1.126),-1.165 (1.010),0.169 (0.895),-0.617 (0.970),-1.076 (0.980),0.061 (1.225)
TARGET_x_QT_bootp,[0.946],[0.635],[0.332],[0.848],[0.586],[0.327],[0.958]
PATH_x_QT,0.174 (0.386),0.296 (0.445),1.040*** (0.353),1.431*** (0.485),0.503 (0.314),0.866* (0.480),-0.623 (0.597)
PATH_x_QT_bootp,[0.709],[0.641],[0.013],[0.016],[0.269],[0.095],[0.394]
QE_x_QT,0.107 (0.169),0.256 (0.188),0.201 (0.189),0.202 (0.189),0.188 (0.155),0.094 (0.209),0.203 (0.184)
QE_x_QT_bootp,[0.576],[0.236],[0.326],[0.310],[0.282],[0.668],[0.323]
R2,0.918,0.891,0.865,0.658,0.923,0.610,0.253
N,87,87,87,87,87,87,87
