,DE2Y,DE5Y,DE10Y,DE30Y,LEVEL,SLOPE,CURV
TARGET,3.519*** (0.445),4.124*** (0.833),3.819*** (1.013),1.859** (0.838),3.821*** (0.704),0.301 (0.816),0.911 (0.780)
PATH,1.091*** (0.253),0.424** (0.205),-0.659* (0.350),-1.297** (0.504),0.286*** (0.108),-1.750*** (0.560),0.416 (0.472)
QE,0.951*** (0.120),1.010*** (0.087),0.902*** (0.172),0.616*** (0.201),0.954*** (0.077),-0.049 (0.242),0.167 (0.163)
TARGET_x_QT,0.969* (0.567),0.329 (0.879),-0.794 (1.061),-0.105 (0.886),0.168 (0.761),-1.763** (0.858),0.482 (0.833)
TARGET_x_QT_bootp,[0.232],[0.855],[0.558],[0.909],[0.877],[0.033],[0.599]
PATH_x_QT,0.053 (0.386),0.216 (0.416),0.939** (0.408),1.349** (0.524),0.403 (0.295),0.886 (0.590),-0.560 (0.560)
PATH_x_QT_bootp,[0.907],[0.708],[0.064],[0.037],[0.350],[0.219],[0.388]
QE_x_QT,0.061 (0.188),0.246 (0.195),0.174 (0.223),0.170 (0.232),0.160 (0.165),0.113 (0.263),0.257 (0.204)
QE_x_QT_bootp,[0.771],[0.254],[0.476],[0.494],[0.388],[0.691],[0.249]
R2,0.915,0.874,0.848,0.648,0.912,0.602,0.210
N,83,83,83,83,83,83,83
