,DE2Y,DE5Y,DE10Y,DE30Y,LEVEL,SLOPE,CURV
TARGET,4.004*** (0.578),5.309*** (0.541),5.064*** (0.899),2.325* (1.297),4.792*** (0.464),1.060 (1.057),1.548 (1.175)
PATH,1.059*** (0.248),0.345* (0.182),-0.742** (0.360),-1.328*** (0.503),0.221** (0.098),-1.801*** (0.569),0.373 (0.449)
QE,0.924*** (0.125),0.944*** (0.074),0.832*** (0.156),0.590*** (0.208),0.900*** (0.059),-0.092 (0.244),0.131 (0.178)
TARGET_x_QT,0.484 (0.676),-0.855 (0.609),-2.039** (0.953),-0.571 (1.328),-0.804 (0.547),-2.523** (1.090),-0.155 (1.211)
TARGET_x_QT_bootp,[0.474],[0.207],[0.158],[0.701],[0.278],[0.076],[0.904]
PATH_x_QT,0.085 (0.383),0.295 (0.405),1.022** (0.416),1.380*** (0.523),0.468 (0.292),0.937 (0.599),-0.517 (0.540)
PATH_x_QT_bootp,[0.862],[0.633],[0.046],[0.036],[0.275],[0.205],[0.406]
QE_x_QT,0.088 (0.191),0.312 (0.190),0.243 (0.211),0.196 (0.238),0.214 (0.157),0.156 (0.265),0.293 (0.216)
QE_x_QT_bootp,[0.676],[0.148],[0.304],[0.450],[0.229],[0.593],[0.219]
R2,0.916,0.880,0.857,0.649,0.917,0.604,0.217
N,82,82,82,82,82,82,82
