,DE2Y,DE10Y,DE30Y,SLOPE
TARGET,3.519*** (0.445),3.819*** (1.013),1.859** (0.838),0.301 (0.816)
PATH,1.091*** (0.253),-0.659* (0.350),-1.297** (0.504),-1.750*** (0.560)
QE,0.951*** (0.120),0.902*** (0.172),0.616*** (0.201),-0.049 (0.242)
TARGET_x_QT,0.969* (0.567),-0.794 (1.061),-0.105 (0.886),-1.763** (0.858)
TARGET_x_QT_bootp,[0.232],[0.558],[0.909],[0.033]
PATH_x_QT,0.053 (0.386),0.939** (0.408),1.349** (0.524),0.886 (0.590)
PATH_x_QT_bootp,[0.907],[0.064],[0.037],[0.219]
QE_x_QT,0.061 (0.188),0.174 (0.223),0.170 (0.232),0.113 (0.263)
QE_x_QT_bootp,[0.771],[0.476],[0.494],[0.691]
R2,0.915,0.848,0.648,0.602
N,83,83,83,83
