,SPREAD_IT10Y,SPREAD_ES10Y,SPREAD_FR10Y
TARGET,15.653*** (5.006),6.437*** (1.751),4.657** (1.849)
PATH,-1.084 (1.047),-0.408 (0.567),-0.223 (0.302)
QE,-0.761 (0.572),-0.329 (0.279),-0.088 (0.159)
TARGET_x_QT,-13.604*** (5.035),-5.805*** (1.759),-4.390** (1.852)
TARGET_x_QT_bootp,[0.033],[0.034],[0.027]
PATH_x_QT,1.256 (1.068),0.421 (0.585),0.247 (0.305)
PATH_x_QT_bootp,[0.289],[0.513],[0.459]
QE_x_QT,0.967 (0.596),0.351 (0.295),0.186 (0.164)
QE_x_QT_bootp,[0.200],[0.299],[0.352]
R2,0.509,0.418,0.513
N,83,83,83
